acc,name,length,n_conf,max_over_mean,plasticity_pct,plasticity_band,l2_delta_max,l2_delta_mean,l2_delta_max_resid,ens_spread_mean,cos_max,cos_mean,peak_localization,compartment,is_soluble
P62750,RL23A_HUMAN,156,5,1.6923375222724684,99.85866972882255,very_high,1265.7626195590817,747.937455087402,435.74860704245384,8.958492610456327,0.9989746793156508,0.6157393628956742,3.379208109141265,soluble,True
P05386,RLA1_HUMAN,114,5,1.69195189650347,99.84983658687395,very_high,1352.6308042325593,799.4499175929103,528.1053530205104,7.523849297520675,0.99174488621199,0.6379937944583087,2.4583542798512026,soluble,True
Q92575,UBXN4_HUMAN,508,5,1.6891110040216868,99.84100344492536,very_high,1258.9520208181018,745.3340945733657,382.93863736786034,11.532805569054648,0.9776723093137648,0.6862610015587438,2.9737075524474803,soluble,True
Q9H0P0,5NT3A_HUMAN,336,5,1.6853940392466416,99.83217030297676,very_high,1060.061367977338,628.9694536059307,206.5249498696577,11.154967403155974,0.8354820262392324,0.5658862963337038,4.399086112557323,soluble,True
P00338,LDHA_HUMAN,332,5,1.6830657992094085,99.82333716102818,very_high,1051.387821899847,624.6861069793205,198.37412391641237,11.014187978505618,0.8839808483106472,0.5816878837609568,6.865929771883532,soluble,True
Q5T0N5,FBP1L_HUMAN,605,5,1.6733628451275684,99.81450401907959,very_high,1233.241245239033,736.9837622654662,344.55189877583575,11.688999107326918,0.9954914100287447,0.7001661837292262,4.9358999391571325,soluble,True
Q8IUI8,CRLF3_HUMAN,442,5,1.661762482800266,99.80567087713099,very_high,1161.8857327729695,699.1888099515842,294.49723137278056,10.742396771456905,1.0104399618514892,0.6480590262152526,3.546044472970274,soluble,True
Q96A05,VATE2_HUMAN,226,5,1.6592806026363829,99.79683773518241,very_high,1264.3192804734165,761.9683364362345,425.1576657824904,11.228555804702143,0.9505422209006024,0.6707286069846811,3.1524284087030834,soluble,True
P07195,LDHB_HUMAN,334,5,1.6589710713657777,99.78800459323381,very_high,1016.15157126682,612.5191625123372,162.87651322126248,11.241028612491672,0.8753446298456239,0.563006354955914,6.482541268101328,soluble,True
Q8IYM1,SEP12_HUMAN,358,5,1.6576576702801955,99.77917145128522,very_high,1083.353058353672,653.5445030510396,226.94167956264084,11.855642228245486,0.869135000084706,0.6039577822606428,4.221057045316381,soluble,True
P00387,NB5R3_HUMAN,301,5,1.6568144084730636,99.77033830933662,very_high,1011.5678964901616,610.5499151355012,162.60527946963032,11.245121188103864,0.798619501035194,0.5496931057341159,5.493491512738146,soluble,True
Q96QG7,MTMR9_HUMAN,549,5,1.6555153510235077,99.76150516738804,very_high,1070.883323976424,646.8579849245762,189.51205925266493,12.108491172429938,0.9089454157200092,0.623829663362818,5.369115386760571,soluble,True
Q9NRF9,DPOE3_HUMAN,147,5,1.6538051790148096,99.75267202543945,very_high,1165.2113474093808,704.5638520142115,336.3734551723055,8.636255973444941,0.9030075316537702,0.5818834856434151,3.1244396842830184,soluble,True
Q14117,DPYS_HUMAN,519,5,1.6514698548729267,99.74383888349085,very_high,1007.9305489926554,610.3233104842593,130.47968520073846,11.643677807841891,0.8745412330877265,0.5762735547694539,6.467602670097103,soluble,True
P32119,PRDX2_HUMAN,198,5,1.6514439570500945,99.73500574154227,very_high,972.0584679352572,588.6112355092894,136.5558941140505,11.169785613356687,0.8902069887719315,0.5133263638030388,5.731907675016739,soluble,True
Q96RU3,FNBP1_HUMAN,617,5,1.6496704934753126,99.72617259959368,very_high,1226.7081451993745,743.6079811389817,336.45063836344013,12.171548467467108,0.988678445855452,0.7115337134803232,4.842988850012076,soluble,True
Q9Y5K8,VATD_HUMAN,247,5,1.6426197063477757,99.71733945764508,very_high,1204.4224184533814,733.2326610945566,362.5165231101659,10.699486838589088,1.0079619453291482,0.6570048740405232,3.379719974482547,soluble,True
P16591,FER_HUMAN,822,5,1.6425294916170694,99.70850631569648,very_high,1186.146219626627,722.1460714578855,269.0993064231052,11.448762166982243,0.9293636987910292,0.7018437994744942,5.139189922564576,soluble,True
Q9C035,TRIM5_HUMAN,493,5,1.639861547853834,99.69967317374791,very_high,1187.4443896603914,724.1125881711278,313.39120667607085,11.975918150796426,0.9532948857279848,0.7009885968606734,5.342261257934896,soluble,True
Q16678,CP1B1_HUMAN,543,5,1.6398580476101077,99.69084003179931,very_high,967.1037494117234,589.748454641863,86.51656487433274,11.348717060893655,0.8850943103261341,0.5437335858257437,4.319633275774566,soluble,True
P25786,PSA1_HUMAN,263,5,1.6375808595653003,99.68200688985071,very_high,958.6354646003016,585.3973310686692,114.63868876010385,11.587948158715973,0.8851151878524718,0.5219466805668866,6.022873401582534,soluble,True
P0DJJ0,SRG2C_HUMAN,459,5,1.6365335993860295,99.67317374790213,very_high,1229.4782589520776,751.2697933068398,359.8681970238448,11.662481139737965,1.04941137035696,0.7234210311352803,3.30237325513044,soluble,True
O95619,YETS4_HUMAN,227,5,1.63534614368993,99.66434060595354,very_high,1079.90671231514,660.3535994384931,240.61441759315244,11.756547517843844,0.8634387986886266,0.599130097830003,4.925061486706514,soluble,True
O75934,SPF27_HUMAN,225,5,1.6348066516643964,99.65550746400494,very_high,1262.7402066309378,772.4095111453745,423.7092719710731,11.222113552176562,0.9461315402895834,0.6765800409432414,3.4492597302068586,soluble,True
Q13901,C1D_HUMAN,141,5,1.6338831079802587,99.64667432205636,very_high,1098.7526114160155,672.4793261205913,270.6987993653087,8.915537012306467,0.9098957818561988,0.5535449937391138,3.6022781345432566,soluble,True
Q6P1K2,PMF1_HUMAN,205,5,1.6336499740738957,99.63784118010777,very_high,1164.6571675031155,712.9172013495228,328.23983346447915,11.552867916273614,0.957301223631023,0.6438102728235704,4.066289049817301,soluble,True
Q9H6K4,OPA3_HUMAN,179,5,1.632537666154762,99.62900803815917,very_high,1192.0081120502878,730.1565757170437,358.9884588192476,9.713870761142532,1.028890782323338,0.6393391119283224,3.049750967142123,soluble,True
P12829,MYL4_HUMAN,197,5,1.6324974867573785,99.62017489621059,very_high,1009.3894907742556,618.3099814613304,174.01759698411024,10.94384964978468,0.820208268568732,0.5147390116009818,4.521298908645584,soluble,True
P43487,RANG_HUMAN,201,5,1.6317120961991352,99.611341754262,very_high,1024.6191163372912,627.9411170159116,188.72450242290017,10.851592209207418,0.8324244810607451,0.5482735230221569,4.238786966383269,soluble,True
P0DMP2,SRG2B_HUMAN,458,5,1.6310897125687285,99.6025086123134,very_high,1240.036266175549,760.2501914018216,370.55688427837754,11.347136396924222,0.9897997395028386,0.722748156706639,3.315804743930414,soluble,True
Q9UG22,GIMA2_HUMAN,337,5,1.6295188819768034,99.5936754703648,very_high,1068.0089344018088,655.4136599537621,214.34183626306708,11.341293979254807,0.8753775047796812,0.611700774599711,5.5379048263056205,soluble,True
Q14565,DMC1_HUMAN,340,5,1.628812580985628,99.58484232841623,very_high,1036.0783914562412,636.0942956541139,182.01925322431532,11.1585905587652,0.9823010718706192,0.6088230223570071,7.107872344883297,soluble,True
P14373,TRI27_HUMAN,513,5,1.6285635455839242,99.57600918646763,very_high,1196.4508846060212,734.6663799817545,319.7841010004727,12.078885248500091,0.9994017461991492,0.7214058919059319,4.63603490337374,soluble,True
Q8WXD5,GEMI6_HUMAN,167,5,1.627722194492774,99.56717604451903,very_high,1011.7135693585496,621.5517443823938,180.26207650024628,9.931945992348805,0.8449913329310836,0.5356948521542794,5.296048536629041,soluble,True
O94804,STK10_HUMAN,968,5,1.6273464577163284,99.55834290257044,very_high,1273.8459847567376,782.7749147791867,337.71978701825094,12.239645228705925,0.9864829544071808,0.7427783554066724,4.729319289918095,soluble,True
Q9H063,MAF1_HUMAN,256,5,1.6238547839733208,99.54950976062186,very_high,1073.9425310456236,661.3537993934586,230.8605154228555,10.860577445836796,0.8573926564201961,0.597361125576788,4.166200472526629,soluble,True
Q13405,RM49_HUMAN,166,5,1.6236602880272244,99.54067661867326,very_high,1095.9930524772365,675.0137701570958,264.6722396499946,10.719196279940554,0.9051731293600788,0.5878265997624483,3.3124945963500645,soluble,True
P62851,RS25_HUMAN,125,5,1.6233200550400146,99.53184347672467,very_high,1072.1241502730609,660.451490722826,246.1612187193365,7.85572672847423,0.9224935733874834,0.5389939638559881,3.8625668038868177,soluble,True
P53041,PPP5_HUMAN,499,5,1.6230077891627448,99.52301033477609,very_high,1015.771608969846,625.8575071239957,140.9343457991572,11.346172158450448,0.8793958679731766,0.5935420768741891,5.299074078301526,soluble,True
Q9UNF0,PACN2_HUMAN,486,5,1.6222437777604446,99.51417719282749,very_high,1169.6987555280962,721.0375971614313,296.5603327612055,11.815774041658496,1.036103078441192,0.6911706670743699,4.644951133130567,soluble,True
O75344,FKBP6_HUMAN,327,5,1.6190777636382487,99.5053440508789,very_high,1043.1152452821268,644.2650678720404,190.7549474539992,11.558592360218928,0.8377946892856893,0.6003288700006227,5.099086407199191,soluble,True
O43739,CYH3_HUMAN,400,5,1.6136733502754543,99.4965109089303,very_high,1094.534971069069,678.2878151148855,232.6350309734588,11.327594959407106,0.971466771789362,0.6462087441759504,4.218414345152033,soluble,True
Q86SQ9,DHDDS_HUMAN,333,5,1.613244817962391,99.48767776698172,very_high,1042.980548465673,646.5110173305231,189.83617045117728,11.881097937022435,0.8902879415407418,0.6180574811772527,5.086745933761409,soluble,True
Q08752,PPID_HUMAN,370,5,1.6105396797919382,99.47884462503312,very_high,1021.063752431745,633.9885724281213,163.08421326797702,11.442782555016056,0.9120650149398426,0.6054601327432018,6.195522620417966,soluble,True
Q15067,ACOX1_HUMAN,660,5,1.609670066848205,99.47001148308453,very_high,1036.958543094495,644.2056446531864,141.08179492292038,11.911107249403605,0.9160408858904102,0.6372282597038917,6.714357751689141,soluble,True
P30838,AL3A1_HUMAN,453,5,1.6074055884674223,99.46117834113595,very_high,962.0685730804576,598.5226006313269,93.24259133859324,11.142255342840484,0.8680113988728502,0.5520066575849589,5.3287318673751525,soluble,True
P36543,VATE1_HUMAN,226,5,1.6042867494681088,99.45234519918735,very_high,1213.7245257433433,756.5508635810536,374.5629110524172,11.150026899560649,0.8960214362825818,0.6444045007334194,2.8775170787945896,soluble,True
Q8TCE6,DEN10_HUMAN,357,5,1.6016994824253572,99.44351205723876,very_high,999.2837766098652,623.8896794142108,143.00307784989548,10.858971553266306,0.9262426122254918,0.5594309286675929,7.199798631337905,soluble,True
O94788,AL1A2_HUMAN,518,5,1.601467170570286,99.43467891529016,very_high,1042.8392006912163,651.1773827485066,165.51901693036098,11.504765717512358,0.8866633650595173,0.6329143514396027,6.904509995538569,soluble,True
P98171,RHG04_HUMAN,946,5,1.6004279598018225,99.42584577334158,very_high,1173.774345650352,733.4127965335581,240.52310859521617,11.593301491876174,0.9422779591012376,0.7128729098817229,4.960453256600398,soluble,True
O43174,CP26A_HUMAN,497,5,1.600081549600434,99.41701263139299,very_high,952.8798700802332,595.5195660599815,78.30396697166725,11.576876433273384,0.8200366819017494,0.5467915294443724,7.874250386912386,soluble,True
P10635,CP2D6_HUMAN,497,5,1.5977540013636178,99.4081794894444,very_high,965.6864421349476,604.4024557655157,91.1105390263814,11.820370646794716,0.8742976945151968,0.5762510389774947,6.006959931154445,soluble,True
A8MY62,BLML_HUMAN,579,5,1.5974388523013014,99.39934634749581,very_high,1050.1325185390815,657.3851118148548,164.8408528834807,11.33668187026765,0.8961114509592778,0.6164324124500868,4.778354811842044,soluble,True
P13584,CP4B1_HUMAN,511,5,1.5970375521252629,99.39051320554722,very_high,985.3455481029068,616.9833306612346,108.94012455948108,11.124070198883825,0.7887681520314811,0.58329520955411,6.34219725934985,soluble,True
Q92506,DHB8_HUMAN,261,5,1.5965140376706894,99.38168006359862,very_high,948.0886781657208,593.8492589438072,104.35326238764571,11.065868290942548,0.8248412921896005,0.5080811849248187,6.851737810960679,soluble,True
P57740,NU107_HUMAN,925,5,1.5960813506212497,99.37284692165002,very_high,1093.3296575597396,685.008729118088,162.82270115689334,12.08037685728843,0.9619470141756556,0.6751891143690906,6.36510157021387,soluble,True
Q14409,GLPK3_HUMAN,553,5,1.5955907986430964,99.36401377970144,very_high,990.1155702054916,620.5322636893485,108.22158535748702,11.708768825147423,0.8319773820332623,0.5953635889201921,5.607579530806929,soluble,True
Q8N9V2,TRIML_HUMAN,468,5,1.594908606197191,99.35518063775285,very_high,1127.877118678418,707.1735109424665,257.09093647063276,10.965570049960288,1.0180193195164535,0.6923639507341295,3.637333406708029,soluble,True
O75444,MAF_HUMAN,373,5,1.5921245880591042,99.34634749580425,very_high,1118.2076693413758,702.3367880417865,259.83609008442363,12.089289335062633,0.8462631471944057,0.6439394851530446,5.029238834699104,soluble,True
Q9UL45,BL1S6_HUMAN,172,5,1.5913517737161704,99.33751435385567,very_high,1176.7665698862063,739.4760789668748,344.661676872596,11.50007892271826,0.8553355683803413,0.6658822038852497,3.505335115696987,soluble,True
Q9H0N5,PHS2_HUMAN,130,5,1.5908044339947458,99.32868121190708,very_high,1036.137380914949,651.3292009825894,209.52104920591773,8.513788719025612,0.8637454193410989,0.5390222104959911,3.5991003742403,soluble,True
P20813,CP2B6_HUMAN,491,5,1.5904072405978862,99.31984806995848,very_high,940.1170142235858,591.117161833704,66.32519130138814,11.5880975317359,0.8367028993951644,0.5522600885661004,6.708724712244654,soluble,True
P37108,SRP14_HUMAN,136,5,1.5903321311228729,99.31101492800988,very_high,1045.1684853588883,657.2013888817957,217.76807346348855,8.752989249741532,0.8757097780977872,0.5384660713898003,4.126731562577259,soluble,True
P51965,UB2E1_HUMAN,193,5,1.5903171889034156,99.30218178606131,very_high,995.0600842748956,625.6991317307192,160.21091060899573,10.24979566737116,0.8427929499637195,0.5463089425972745,4.077687732944536,soluble,True
Q9P107,GMIP_HUMAN,970,5,1.5897433552930584,99.29334864411271,very_high,1159.6421535778647,729.4524299883001,223.2545957772553,12.17325553961086,1.0118682997706243,0.714453200156609,4.421115564902187,soluble,True
Q0JRZ9,FCHO2_HUMAN,810,5,1.588953212506585,99.28451550216411,very_high,1150.272066408201,723.9181477169171,234.79331357741592,11.95943048760045,1.024867135505099,0.7084358045155339,5.112230426276604,soluble,True
Q6T310,RSLBA_HUMAN,242,5,1.588808119341572,99.27568236021554,very_high,1001.6002174701832,630.409805485935,160.34772228227484,11.225375677406138,0.8410302907913048,0.5583568097852251,4.814854566736566,soluble,True
Q9Y5Q3,MAFB_HUMAN,323,5,1.5883110430621632,99.26684921826694,very_high,1136.1366634707956,715.3111907342832,284.29908576691355,11.529355373014148,0.8430018942452655,0.6456091504584551,4.942203553477402,soluble,True
A6NFY7,SDHF1_HUMAN,115,5,1.5879571504146506,99.25801607631834,very_high,1086.8573656379135,684.437464419316,262.20123439480335,8.510182660810688,0.8449354580539326,0.5499452672944569,3.4905720205992727,soluble,True
Q8WUR7,CO040_HUMAN,153,5,1.5878441863141266,99.24918293436976,very_high,1065.5792979354098,671.0855555716448,235.95732551196625,9.028196544186626,0.8930616681992474,0.5583252699982465,2.9560593951378413,soluble,True
Q6NSW5,DE10B_HUMAN,357,5,1.5858606206675017,99.24034979242117,very_high,985.869257899554,621.6619828059087,129.58855913958416,10.701543513994226,0.931297795047902,0.5869546003083896,7.049234040508117,soluble,True
Q5VIR6,VPS53_HUMAN,832,5,1.585547478194244,99.23151665047257,very_high,1153.1122753981313,727.2644252254166,234.7585618839953,11.944105894037262,0.9685807659310648,0.6835297660317973,3.610643583306572,soluble,True
Q8N4J0,CARME_HUMAN,409,5,1.58490567416663,99.22268350852399,very_high,1046.1949332862869,660.0991783531905,183.1188729111242,10.901558408408052,0.9714835050498516,0.6104098380467189,5.752748605634882,soluble,True
Q15019,SEPT2_HUMAN,361,5,1.5845855068639243,99.2138503665754,very_high,1030.367780143426,650.2443545511512,173.5643612592106,11.468827736711006,0.8808671779387343,0.618907618277101,3.977771503271784,soluble,True
Q69YI7,NAIF1_HUMAN,327,5,1.583977928798694,99.2050172246268,very_high,1140.2569720366046,719.8692300591612,287.89667420847695,11.309620898839825,0.8981182371234189,0.6568623034788349,4.457013612909326,soluble,True
O76064,RNF8_HUMAN,485,5,1.5839612162608427,99.1961840826782,very_high,1119.797230913461,706.960005974964,246.78948817763137,11.769147242688517,0.9831656916823892,0.6640348116147246,4.367252377774786,soluble,True
O43586,PPIP1_HUMAN,416,5,1.5839255652383564,99.18735094072962,very_high,1202.4717188256632,759.1718608589576,338.48089823307066,12.283010367648812,0.967471459357278,0.7193170610061327,4.295059617859339,soluble,True
Q15642,CIP4_HUMAN,601,5,1.583712958795576,99.17851779878103,very_high,1214.1146952745917,766.6254724570481,325.94806893563975,12.064838855081051,1.0070262217446266,0.7298345696568426,4.418938830630505,soluble,True
Q15024,EXOS7_HUMAN,291,5,1.5836346708471047,99.16968465683243,very_high,1000.866939884408,632.0062059183442,153.21112317449092,11.890077051820612,0.8915379494445701,0.5903063818072009,6.003571882706817,soluble,True
P00352,AL1A1_HUMAN,501,5,1.583225949163371,99.16085151488384,very_high,1001.3838793584184,632.4958733060179,126.28525612560668,11.569520345880443,0.8645862741732329,0.6128026346258345,6.211054611006549,soluble,True
Q9H2K8,TAOK3_HUMAN,898,5,1.583175954075991,99.15201837293526,very_high,1255.5289619935745,793.0444867859121,328.55036642938603,11.97004625232676,1.0218390120517291,0.7379292393324255,3.816959770041541,soluble,True
Q9C019,TRI15_HUMAN,465,5,1.583130197683046,99.14318523098666,very_high,1212.6146062734886,765.9601263664857,342.22046415888735,11.107586559433916,0.983522444328248,0.7120253626223457,2.6793917909867813,soluble,True
Q9H5X1,CIA2A_HUMAN,160,5,1.57981631198637,99.13435208903807,very_high,1007.5916117715954,637.7903583633264,177.05487913072193,9.185534771338975,0.841571303387346,0.5253392028344253,4.538388373175995,soluble,True
P51589,CP2J2_HUMAN,502,5,1.577996355513294,99.12551894708947,very_high,996.2666365480168,631.3491365589189,121.03733328414364,11.346287808796276,0.8366281538940401,0.6161277883469162,6.316624002014231,soluble,True
Q53GA4,PHLA2_HUMAN,152,5,1.5774493579668285,99.11668580514089,very_high,977.3302192824063,619.5636102958691,147.83892689002425,9.065801177329204,0.818713056102873,0.5189892564702516,3.5635472903305607,soluble,True
P52789,HXK2_HUMAN,917,5,1.576773849192928,99.1078526631923,very_high,1020.9928553997224,647.5201601807014,91.53133924536746,11.960563241659283,0.9103084990905606,0.6457697734596218,7.314490323990093,soluble,True
Q9H628,RERGL_HUMAN,205,5,1.575618635938947,99.0990195212437,very_high,984.8350050808632,625.0465579777824,148.41767104222652,11.351987342127376,0.8969302243471586,0.5554100895038773,4.839116277578684,soluble,True
P0C7M6,IQCF3_HUMAN,154,5,1.575536963610699,99.09018637929512,very_high,1189.9217819885746,755.2484070319902,360.1691295340695,9.85694419432781,0.9422083175396232,0.6356962170888505,3.6391944921931474,soluble,True
Q9UN81,LORF1_HUMAN,338,5,1.5755309581422086,99.08135323734652,very_high,1275.4815759390376,809.556657294408,421.6837977692345,10.992167546235494,1.0509883891714846,0.702861392184705,2.0702966036645916,soluble,True
P61764,STXB1_HUMAN,594,5,1.5754660593235883,99.07252009539793,very_high,1065.9215702593929,676.5753942775898,178.66970413787078,11.772664210796275,0.924401258719444,0.6769153544239015,6.632118718850388,soluble,True
P05093,CP17A_HUMAN,508,5,1.5746079680053786,99.06368695344933,very_high,932.1560530302168,591.9924654067661,56.14266957997541,11.863526799550456,0.8610098524888717,0.5623440621158103,7.269195153555519,soluble,True
Q9NRH1,YAE1_HUMAN,226,5,1.5727194447582309,99.05485381150075,very_high,1060.8099666410158,674.5068042332992,221.6483519500897,11.105660444800408,0.8561396903460232,0.5997359045393711,3.5273983820783075,soluble,True
O15372,EIF3H_HUMAN,352,5,1.5725130076198734,99.04602066955216,very_high,1082.9157081774088,688.6529414563746,227.288409572746,11.376594838778654,0.9903681960215884,0.6581560517905815,4.6903000004093585,soluble,True
Q9BU61,NDUF3_HUMAN,184,5,1.572388603292304,99.03718752760356,very_high,1037.1857704015429,659.6243245647333,203.5127170151958,10.184216048020012,0.8963059478565096,0.5883519953957119,3.659479241206646,soluble,True
Q9BY11,PACN1_HUMAN,444,5,1.5713559918229838,99.02835438565498,very_high,1148.7303906860147,731.0440133631095,281.080529223703,11.334607286548692,0.9837313539495058,0.6944803506589863,3.905542030766552,soluble,True
O00463,TRAF5_HUMAN,557,5,1.5713412987595103,99.0195212437064,very_high,1153.4669569428029,734.0651950354973,271.0502519705526,11.66518838141867,1.0383651903873576,0.717348015411362,3.410943543538973,soluble,True
Q9NR63,CP26B_HUMAN,512,5,1.5685123669016057,99.0106881017578,very_high,971.7165030003658,619.5147220409223,95.1803994258787,11.303921556778244,0.9074194456817783,0.5811033674621768,5.14988560558648,soluble,True
O75635,SPB7_HUMAN,380,5,1.5673932086184807,99.0018549598092,very_high,999.3083553381814,637.5607281196634,140.02201586379942,12.124844415618114,0.8613813562616884,0.6226483032655278,7.025386418897791,soluble,True
Q96IK1,BOD1_HUMAN,185,5,1.5665776804162483,98.99302181786062,very_high,1078.2437261121372,688.2797703488762,244.43999269472872,10.90489100997008,0.9041045840516266,0.587716417459461,3.6200981330786863,soluble,True
Q9H469,FXL15_HUMAN,300,5,1.5661605409452413,98.98418867591202,very_high,954.1213605600434,609.2104452986833,105.2894235705736,10.989430724756328,0.7498534226902256,0.5445800810238818,4.696280046843293,soluble,True
Q7L190,DPPA4_HUMAN,304,5,1.564977234904153,98.97535553396342,very_high,1072.896002091491,685.5665233722301,223.54134497777557,11.269195585209856,0.9012404804551132,0.6273579228037129,3.527576199226339,soluble,True
Q6NUQ1,RINT1_HUMAN,792,5,1.5645757488609209,98.96652239201484,very_high,1133.9065526702864,724.7373951016787,220.78004039860664,12.181804100206936,0.9378922784882152,0.6877705485248761,3.2259494407949605,soluble,True
Q5SSQ6,SAPC1_HUMAN,148,5,1.564184944683621,98.95768925006625,very_high,983.1004358557263,628.5065197664389,154.1318635875897,9.613732680160592,0.8192101816581173,0.5130923949742084,4.073129873709754,soluble,True
Q8TF64,GIPC3_HUMAN,312,5,1.563379007849642,98.94885610811765,very_high,977.9010315505514,625.5047730838137,127.50093418834469,11.37781520650744,0.7978060954153776,0.5577668595577102,4.545496529884729,soluble,True
Q9Y314,NOSIP_HUMAN,301,5,1.5629140004410005,98.94002296616907,very_high,1104.808931235325,706.8904181049137,255.84631421479375,11.466275955609245,0.9780009537309576,0.6719558445979978,2.95563902428386,soluble,True
Q68D86,C102B_HUMAN,513,5,1.5628847481599155,98.93118982422048,very_high,1184.048396343523,757.6044220381677,307.3816127379746,11.507726318158392,0.9259736541065392,0.6926895459795147,6.068695309843865,soluble,True
Q9UIA0,CYH4_HUMAN,394,5,1.5622368564206572,98.92235668227188,very_high,1026.2056843278756,656.882264753067,165.08982441863395,10.97455147279886,0.9237614540548084,0.6231614630191674,3.572496280658144,soluble,True
Q93077,H2A1C_HUMAN,130,5,1.561994207059524,98.91352354032328,very_high,1012.4138711115148,648.154690032965,185.7975394024835,7.795167786980174,0.8508918455305601,0.5328985807092338,5.081019882633947,soluble,True
P20815,CP3A5_HUMAN,502,5,1.5608807568656005,98.90469039837471,very_high,938.5557240166048,601.298798698598,63.32642075273179,11.89674399518206,0.7941059318575814,0.5640829777460618,8.132114617587897,soluble,True
Q7Z5W3,BN3D2_HUMAN,292,5,1.56026529827884,98.89585725642611,very_high,988.6043449656248,633.6129798276061,140.81784822464613,9.838843733169629,0.8855337663607646,0.5974235010657161,4.581908064572085,soluble,True
Q9H777,RNZ1_HUMAN,363,5,1.560174176672657,98.88702411447751,very_high,977.1186222911928,626.2881650646906,120.05384334485473,10.775100403956133,0.9305242020253024,0.5649973984753376,5.5515063058399825,soluble,True
Q9BTA0,F167B_HUMAN,163,5,1.5579182189107623,98.87819097252893,very_high,1085.1520501592738,696.5398035568344,254.2232774252161,11.09933797498686,0.8184877722397564,0.5964251489581177,3.8410422159264335,soluble,True
O00186,STXB3_HUMAN,592,5,1.5566051529617693,98.86935783058034,very_high,1063.1986346856904,683.0239721750725,176.2081286262911,11.49093894137771,0.8757233666509839,0.6788182079228845,7.407774861513611,soluble,True
Q9BTV5,FSD1_HUMAN,496,5,1.555646138337662,98.86052468863174,very_high,1139.010448515593,732.1783665603833,264.5652254380883,11.437716067505685,0.9400572755898028,0.6817031366154056,3.2844723780817944,soluble,True
